company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
Peraton,"External Job Posting Title
Security Operations Center (SOC) Analyst",167747,,United States of America,"$66,000 - $106,000",unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167747/security-operations-center-%28soc%29-analyst/job,"Security Operations Center (SOC) Analyst
Job Locations
US-MS-Stennis Space Center
Requisition ID 2026-167747 Position Category Cyber Security Clearance Public Trust
Responsibilities

Peraton is seeking an experienced Security Operations Center (SOC) Analyst to join our team. The ideal candidate will have years of experience working in a multi-tenant SOC environment, demonstrating expertise in cyber incident response, Splunk, and networking technologies.

 

The role requires shift work, and remote or telework is not permitted. All work will be performed onsite at our government facility in Mississippi.

 

Day to Day Work Responsibilities may include:

Monitor, detect, and respond to security incidents and events within a multi-tenant SOC.
Conduct thorough investigations using Splunk, including writing and optimizing Splunk queries.
Participate in and lead cyber incident response efforts, coordinating with various stakeholders.
Analyze and interpret security logs, alerts, and reports to identify potential threats and vulnerabilities.
Collaborate with network and systems teams to enhance security posture and address vulnerabilities.
Utilize the SWIMLANE tool to automate and streamline security operations processes (preferred).
Maintain up-to-date knowledge of emerging threats, vulnerabilities, and security technologies.
Prepare detailed incident reports, including root cause analysis and recommendations for remediation.
Qualifications

Basic Qualifications:

Bachelors degree and 2 years of experience or high school diploma/equivalent and 6 years of experience
US Citizenship required; must have the ability to obtain/maintain a DHS Public Trust (EOD)
Must have experience working in a multi-tenant SOC environment.
Proficient in Splunk, with the ability to write complex queries and conduct investigations.
Strong understanding of networking technologies and protocols.
Incident Response**: Demonstrated experience in cyber incident response, including leading response efforts.
Shift Work: Ability to work shifts, with all work performed onsite at the government facility.

Preferred Qualifications: 

Active DHS Public Trust clearance 
Experience with the SWIMLANE tool.
 Strong analytical and problem-solving skills.
Excellent communication and collaboration abilities.
Ability to work effectively in a high-pressure, dynamic environment.
Commitment to continuous learning and professional development
Peraton Overview

Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted, highly differentiated solutions and technologies to protect our nation and allies. Peraton operates at the critical nexus between traditional and nontraditional threats across all domains: land, sea, space, air, and cyberspace. The company serves as a valued partner to essential government agencies and supports every branch of the U.S. armed forces. Each day, our employees do the can’t be done by solving the most daunting challenges facing our customers. Visit peraton.com to learn how we’re keeping people around the world safe and secure.

Target Salary Range
$66,000 - $106,000. This represents the typical salary range for this position. Salary is determined by various factors, including but not limited to, the scope and responsibilities of the position, the individual’s experience, education, knowledge, skills, and competencies, as well as geographic location and business and contract considerations. Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay.
EEO
EEO: Equal opportunity employer, including disability and protected veterans, or other characteristics protected by law.
Apply for this job online
Email this job to a friend"
Peraton,"External Job Posting Title
Security Operations Center (SOC) Analyst",167746,,United States of America,"$66,000 - $106,000",unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167746/security-operations-center-%28soc%29-analyst/job,"Security Operations Center (SOC) Analyst
Job Locations
US-MS-Stennis Space Center
Requisition ID 2026-167746 Position Category Cyber Security Clearance Public Trust
Responsibilities

Peraton is seeking an experienced Security Operations Center (SOC) Analyst to join our team. The ideal candidate will have years of experience working in a multi-tenant SOC environment, demonstrating expertise in cyber incident response, Splunk, and networking technologies.

 

The role requires shift work, and remote or telework is not permitted. All work will be performed onsite at our government facility in Mississippi.

 

Day to Day Work Responsibilities may include:

Monitor, detect, and respond to security incidents and events within a multi-tenant SOC.
Conduct thorough investigations using Splunk, including writing and optimizing Splunk queries.
Participate in and lead cyber incident response efforts, coordinating with various stakeholders.
Analyze and interpret security logs, alerts, and reports to identify potential threats and vulnerabilities.
Collaborate with network and systems teams to enhance security posture and address vulnerabilities.
Utilize the SWIMLANE tool to automate and streamline security operations processes (preferred).
Maintain up-to-date knowledge of emerging threats, vulnerabilities, and security technologies.
Prepare detailed incident reports, including root cause analysis and recommendations for remediation.
Qualifications

Basic Qualifications:

Bachelors degree and 2 years of experience or high school diploma/equivalent and 6 years of experience
US Citizenship required; must have the ability to obtain/maintain a DHS Public Trust (EOD)
Must have experience working in a multi-tenant SOC environment.
Proficient in Splunk, with the ability to write complex queries and conduct investigations.
Strong understanding of networking technologies and protocols.
Incident Response**: Demonstrated experience in cyber incident response, including leading response efforts.
Shift Work: Ability to work shifts, with all work performed onsite at the government facility.

Preferred Qualifications: 

Active DHS Public Trust clearance 
Experience with the SWIMLANE tool.
 Strong analytical and problem-solving skills.
Excellent communication and collaboration abilities.
Ability to work effectively in a high-pressure, dynamic environment.
Commitment to continuous learning and professional development
Peraton Overview

Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted, highly differentiated solutions and technologies to protect our nation and allies. Peraton operates at the critical nexus between traditional and nontraditional threats across all domains: land, sea, space, air, and cyberspace. The company serves as a valued partner to essential government agencies and supports every branch of the U.S. armed forces. Each day, our employees do the can’t be done by solving the most daunting challenges facing our customers. Visit peraton.com to learn how we’re keeping people around the world safe and secure.

Target Salary Range
$66,000 - $106,000. This represents the typical salary range for this position. Salary is determined by various factors, including but not limited to, the scope and responsibilities of the position, the individual’s experience, education, knowledge, skills, and competencies, as well as geographic location and business and contract considerations. Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay.
EEO
EEO: Equal opportunity employer, including disability and protected veterans, or other characteristics protected by law.
Apply for this job online
Email this job to a friend
Share on your newsfeed
Application FAQs

Software Powered by iCIMS

www.icims.com"
Peraton,"External Job Posting Title
Biometrics Intelligence Analyst, Advisor",167732,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167732/biometrics-intelligence-analyst%2c-advisor/job,
Peraton,"External Job Posting Title
Quality Intelligence Analyst",167731,,United States of America,"$51,000 - $82,000",unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167731/quality-intelligence-analyst/job,"Quality Intelligence Analyst
Job Locations
US
Requisition ID 2026-167731 Position Category Information Technology Clearance RDG Clearance
Responsibilities

Peraton’s Risk Decision Group (RDG) is seeking a Quality Intelligence Analyst. This role ensures systems are accurate, reliable, and aligned with design standards by combining system review, software testing, and UX‑focused evaluation. It uses data and structured testing to validate functionality, assess workflow efficiency, and confirm consistent, high‑quality interactions. The UX portion focuses on checking design consistency — not conducting user research or representing user opinions. Overall, this role ensures that products, integrations, and features meet technical, functional, and usability expectations.

 

This position will be 100% remote.

 

Key Responsibilities

 

    IT Testing & UX Quality Assurance (QA)

Participates in the full QA lifecycle, including planning, test case development, execution, and validation.
Develops detailed test plans and test scripts for BI solutions, integrations, and data workflows.
Perform functional, regression, integration, system and user acceptance testing.
Verifies data accuracy, transformation rules, and end‑to‑end reporting logic.
Performs root‑cause analysis with developers, data engineers, and system owners.
Ensure QA documentation is complete, accurate, and audit‑ready.
Identify and communicate change requests and defect tickets through the Change Control Board process.
Supports test automation where appropriate.
Conduct UX-focused quality checks including layout consistency, labeling clarity, and interaction patterns.
Validate solutions are accurate, reliable, usable, and aligned to design and UX standards, to include system workflows.
Works independently or within project teams to guide application and QA testing.

Collaboration & Continuous Improvement

Conducts presentations, walkthroughs, and reviews of requirements, system behavior, and test outcomes for project teams and stakeholders.
Work with business owners, technical teams and project managers to ensure alignment of quality expectations.
Collaborate directly with application developers throughout the development lifecycle to ensure application quality by clarifying requirements, validating technical behaviors, supporting defect root‑cause analysis, and verifying that implemented functionality aligns with expected design and system workflows.
Provide actionable recommendations to improve product quality, usability, efficiency, and overall user experience.
Contribute to the enhancement of QA processes, templates, and automation opportunities.
Participate in team planning, prioritization, and release preparation.
Performs other duties as assigned.
Qualifications

Required Qualifications

US Citizenship
Current Tier 5 favorably adjudicated clearance
2+ years of experience in software QA, data/BI testing, or application testing
Microsoft Office Suite (e.g. for documentation, reporting and presentations)
Strong attention to detail and ability to validate layout, usability, and UX alignment
Bachelor’s degree or a minimum of 6 years of work experience may be considered

Preferred Qualifications

Experience with UX research or usability testing techniques
Experience interpreting business and technical requirements to develop test scenarios
Experience with test management tools (e.g. Azure DevOps, Jira, etc.)
Understanding of the Software Development Life Cycle (SDLC)
Experience in the BI industry
Experience working on Federal Government contracts
Experience creating detailed reports and giving presentations
Ability to rapidly adapt and respond to changes in environment and priorities
Demonstrated ability to work independently, determining and developing approaches to solutions

#RDG

Peraton Overview

Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted, highly differentiated solutions and technologies to protect our nation and allies. Peraton operates at the critical nexus between traditional and nontraditional threats across all domains: land, sea, space, air, and cyberspace. The company serves as a valued partner to essential government agencies and supports every branch of the U.S. armed forces. Each day, our employees do the can’t be done by solving the most daunting challenges facing our customers. Visit peraton.com to learn how we’re keeping people around the world safe and secure.

Target Salary Range
$51,000 - $82,000. This represents the typical salary range for this position. Salary is determined by various factors, including but not limited to, the scope and responsibilities of the position, the individual’s experience, education, knowledge, skills, and competencies, as well as geographic location and business and contract considerations. Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay.
EEO
EEO: Equal opportunity employer, including disability and protected veterans, or other characteristics protected by law.
Apply for this job online
Email this job to a friend
Share on your newsfeed
Application FAQs

Software Powered by iCIMS

www.icims.com"
Peraton,"External Job Posting Title
Battlespace Awareness (BSA) Operator intermediate",167728,,United States of America,"$104,000 - $166,000",unknown,Mid,us_person,TS/SCI + Poly,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167728/battlespace-awareness-%28bsa%29-operator-intermediate/job,"Battlespace Awareness (BSA) Operator intermediate
Job Locations
US-CO-Schriever AFB
Requisition ID 2026-167728 Position Category Aviation Systems Clearance Top Secret/SCI w/Poly
Responsibilities

As a Battlespace Awareness (BSA) Operator you will monitor, analyze, assess and report on significant space domain indications and warnings (I&W) to ensure Space Warfighting Mission success. BSA Operators are responsible for the safeguarding of ground and space assets as part of a Government & Contractor team conducting 24/7 operations. Successful candidates will leverage their prior aerospace and/or space operations background to execute mission protection tactics, techniques and procedures (TTPs) in a high-ops tempo environment. Additionally, this technically skilled position requires the selected individual to have the ability to utilize a multitude of Space Domain Awareness (SDA) tools enabling resident space object (RSO) custody and event characterization. Readiness to adapt to (and drive) improved TTPs while supporting ongoing system integration efforts of latest developing technologies (as an end user) is an essential function of this position. Battlespace Awareness operators are trained as space protection subject matter experts, providing actionable information and course of action (COA) recommendations to senior decision-makers.

Monitors space threat assessments as part of a 24/7 operations crew rotation
Maintains operational RSO database and custody of high-interest space objects
Routinely create reports/products and briefs leadership daily including ad hoc updates for ongoing space events of interest
Contributes to course of action (COA) planning, and executes procedures in response to checklist entry criteria
Support testing and integration effort of related software pertinent to BSA checklists and/or mission protection functions as an end-user of developing tools and capabilities
Analyze various satellite state position data sources, make pattern-of-life based assessments and report on vulnerabilities to mission assets
Maintain system proficiency (i.e., Systems Tool Kit (STK) and other software) and attend system-based training (as required)
Prioritize and execute the tasking of space resources in support of national security programs
Be prepared to support both real world and exercise driven space event planning efforts
Work full-time on-site at a government facility in Colorado Springs, CO

 

***This position is contingent upon award of contract***

Qualifications

Requirements: 

Minimum of 12 years w/o a degree or 10 years with AS/AA or 8 years  with BS/BA; 6 years with MS/MA; 4 years with PhD;
Active TS/SCI clearance with adjudicated Poly

Preferred:

2+ years’ experience with STK or other astrodynamics systems (i.e. ASW, ATLAS, SPADOC and/or available developing I&W tools)
2+ years working with IC organizations
Understanding and prior applied knowledge of orbital mechanics and space surveillance systems
Recent knowledge of foreign and domestic space and ground threat capabilities and missions
Prior experience in tasking space surveillance resources, or collection management
Effective oral communication and interpersonal skills, ability to brief government and military members of all ranks

Worklocation Schriver SFB, CO

Peraton Overview

Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted, highly differentiated solutions and technologies to protect our nation and allies. Peraton operates at the critical nexus between traditional and nontraditional threats across all domains: land, sea, space, air, and cyberspace. The company serves as a valued partner to essential government agencies and supports every branch of the U.S. armed forces. Each day, our employees do the can’t be done by solving the most daunting challenges facing our customers. Visit peraton.com to learn how we’re keeping people around the world safe and secure.

Target Salary Range
$104,000 - $166,000. This represents the typical salary range for this position. Salary is determined by various factors, including but not limited to, the scope and responsibilities of the position, the individual’s experience, education, knowledge, skills, and competencies, as well as geographic location and business and contract considerations. Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay.
EEO
EEO: Equal opportunity employer, including disability and protected veterans, or other characteristics protected by law.
Apply for this job online
Email this job to a friend"
Peraton,"External Job Posting Title
 Analytic Facilitator  - Mobile Training Team (MTT) Instructor",167725,,United States of America,"$104,000 - $166,000",unknown,Mid,us_person,Top Secret,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167725/%c2%a0analytic-facilitator%c2%a0---mobile-training-team-%28mtt%29-instructor%c2%a0/job,"Analytic Facilitator  - Mobile Training Team (MTT) Instructor 
Job Locations
US-NE-Offutt AFB
Requisition ID 2026-167725 Position Category Intel and Threat Analysis Clearance Top Secret/SCI
Responsibilities

We are seeking a highly skilled and motivated Analytic Facilitator to join our team at Offutt Air Force Base (AFB) supporting the Air Combat Command (ACC) Intelligence Directorate (A2). The Analytic Facilitator will provide academic, practical exercise, and simulator initial or orientation training for Air Operations Center (AOC) intelligence personnel. This position requires expertise in intelligence analysis, instructional delivery, and the ability to support mission-critical training programs for Air Force personnel. 

 

Key Responsibilities: 

Serve as a Mobile Training Team (MTT) instructor and facilitator for Air Combat Command (ACC) courses, delivering high-quality training to intelligence professionals. 
Support AOC intelligence initial, orientation, mission, and AOR certification training academics as directed.   
Design and update flexible courseware to meet changing TTPs. 
Maintain up-to-date knowledge of intelligence tools, methodologies, and emerging technologies to incorporate into training programs. 
Ensure training programs align with Air Force and ACC standards, policies, and objectives. 
Travel required (Up to 20%) 
Qualifications

Required Qualifications: 

Experience Level: Minimum of 16 years w/o a degree, 14 years with AS/AA or 12 years with BS/BA or 10 years woth MS/MA or 8 years with Phd
Technical Expertise: 
Proficiency in Single/Multi-Discipline ISR Analysis, Multi-Int Fusion, Analytical Tradecraft Support and intelligence functions conducted at Air Operations Centers.   
Familiarity with intelligence tools, databases, and software used in ISR operations. 
Experience delivering training and facilitating exercises in a professional setting. 
Experience providing intelligence support to an AOC as part of an Intelligence Surveillance & Reconnaissance Division (ISRD).   
Skills: 
Strong instructional and facilitation skills, with the ability to engage and mentor diverse audiences. 
Excellent written and verbal communication skills for developing and delivering training materials. 
Ability to work collaboratively in a fast-paced, mission-driven environment. 
Security Clearance: Active Top Secret/SCI clearance is required. 

 

Preferred Qualifications: 

Experience supporting Air Force Major Command (MAJCOM) Intelligence Directorate or similar military organization.  
Prior experience as an instructor or facilitator for ACC courses or similar training programs. 
Familiarity with scenario-based training and exercise development. 

 

Why Join Us? 

Be part of a mission-critical team supporting the U.S. Air Force's ISR operations. 
Work in a dynamic and collaborative environment at Offutt Air Force Base, a hub for Air Force intelligence and training excellence. 
Access to professional development opportunities and career growth within the intelligence community. 

 

#AFACC

Peraton Overview

Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted, highly differentiated solutions and technologies to protect our nation and allies. Peraton operates at the critical nexus between traditional and nontraditional threats across all domains: land, sea, space, air, and cyberspace. The company serves as a valued partner to essential government agencies and supports every branch of the U.S. armed forces. Each day, our employees do the can’t be done by solving the most daunting challenges facing our customers. Visit peraton.com to learn how we’re keeping people around the world safe and secure.

Target Salary Range
$104,000 - $166,000. This represents the typical salary range for this position. Salary is determined by various factors, including but not limited to, the scope and responsibilities of the position, the individual’s experience, education, knowledge, skills, and competencies, as well as geographic location and business and contract considerations. Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay.
EEO
EEO: Equal opportunity employer, including disability and protected veterans, or other characteristics protected by law.
Apply for this job online
Email this job to a friend
Share on your newsfeed
Application FAQs

Software Powered by iCIMS

www.icims.com"
Peraton,"External Job Posting Title
Systems Engineering, Lead Associate",167724,,United States of America,"$104,000 - $166,000",unknown,Lead,unknown,TS/SCI + Poly,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167724/systems-engineering%2c-lead-associate/job,"Systems Engineering, Lead Associate
Job Locations
US-VA-Chantilly
Requisition ID 2026-167724 Position Category Engineering Clearance Top Secret/SCI w/Poly
Responsibilities

Using a holistic approach, designs, develops, evaluates, and modifies end-to-end systems and systems-oriented products through their entire life cycle. Generates quantifiable requirements based on customer description, system planning and design, and acquisition logistics. Ensures requirements comply with client requirements and government standards through formal verification methods. Translates high level product development strategies into system requirement specifications and works with other engineering disciplines to develop lower-level detailed implementation requirements. Establishes and coordinates development of standards, practices, and procedures as related to the overall product development. Designs interfaces and brings system elements together, so they work as a whole. Assesses performance using evaluation criteria and technical performance measures. Customer liaison and support for business development activities and to understand and shape requirements. Participates in system conceptual design and documentation of the design concepts. Translates high level product development strategies into system requirement specifications and works with multi-discipline engineering teams to develop lower-level detailed requirements. Participates in design reviews of components (hardware and software) to ensure applicability to the current system and traceability of requirements through compliance verification and validation. Generates system level requirements verification procedures and customer acceptance test procedures. Reviews test plans/procedures and ensures they meet the objectives of the contractual requirements and participates in the testing process to validate requirements.

Qualifications

5 years with BS/BA; 3 years with MS/MA; 0 years with PhD

 

TS/SCI W POLY 

Peraton Overview

Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted, highly differentiated solutions and technologies to protect our nation and allies. Peraton operates at the critical nexus between traditional and nontraditional threats across all domains: land, sea, space, air, and cyberspace. The company serves as a valued partner to essential government agencies and supports every branch of the U.S. armed forces. Each day, our employees do the can’t be done by solving the most daunting challenges facing our customers. Visit peraton.com to learn how we’re keeping people around the world safe and secure.

Target Salary Range
$104,000 - $166,000. This represents the typical salary range for this position. Salary is determined by various factors, including but not limited to, the scope and responsibilities of the position, the individual’s experience, education, knowledge, skills, and competencies, as well as geographic location and business and contract considerations. Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay.
EEO
EEO: Equal opportunity employer, including disability and protected veterans, or other characteristics protected by law.
Apply for this job online
Email this job to a friend
Share on your newsfeed
Application FAQs

Software Powered by iCIMS

www.icims.com"
Peraton,"External Job Posting Title
Cloud Engineer",167718,,United States of America,"$86,000 - $138,000",unknown,Mid,unknown,TS/SCI + Poly,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167718/cloud-engineer/job,"Cloud Engineer
Job Locations
US-VA-Springfield
Requisition ID 2026-167718 Position Category Engineering Clearance Top Secret/SCI w/Poly
Responsibilities

Cloud Engineers define and support implementation approaches and plans to ensure optimum cloud performance and reliability across the servers, networks, and related utilities and hardware that comprise the cloud infrastructure.  They conduct analysis and make reliable engineering recommendations to ensure six sigma reliability/resiliency of the cloud infrastructure.  They monitor and report on cloud utilization and plan continuous process improvement.

 

Duties include:

Applies the principles of “cloud native” development as described in “The Twelve-Factor App” (https//12factor.net) through a systematic, engineering approach to the design, architecture, requirements elicitation, development, operation and use of cloud technologies and platforms for mission solutions.
Leverages software-, platform- and infrastructure- as-a-service to deliver GEOINT solutions.
Ensures optimum efficiencies for the utilization of cloud services.   
Integrates systems by creating new Application Program Interfaces (API’s)
Creates and maintains automated software deployment pipelines using Continuous Integration/Continuous Deployment (CI/CD) tools.

Location: This position is 100% onsite in Springfield, Virginia. Remote or hybrid work is not available.

Qualifications

Peraton offers enhanced benefits to employees working on this critical National Security program, which include heavily subsidized employee benefits coverage for you and your dependents, 25 days of PTO accrued annually up to a generous PTO cap and eligible to participate in an attractive bonus plan.

 

Required:

Bachelor’s degree or higher in Computer Science, Information Technology, Management Information Systems, or related STEM degree program, or 9 years of work experience as a Cloud Engineer.
5+ years of experience in government or industry supporting or leading cloud-based systems engineering efforts.
Experience using:
Jenkins CI/CD
GitLab
JavaScript
Active TS/SCI clearance, or ability to obtain SCI and successfully pass a polygraph.

Desired:

One or more Cloud Certifications
AWS Certified Developer – Associate
AWS Certified DevOps Engineer – Professional
Cloud Foundry Developer
Experience in Scripting/automation via PowerShell, VBscript, AutoIT, Python or the like
Peraton Overview

Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted, highly differentiated solutions and technologies to protect our nation and allies. Peraton operates at the critical nexus between traditional and nontraditional threats across all domains: land, sea, space, air, and cyberspace. The company serves as a valued partner to essential government agencies and supports every branch of the U.S. armed forces. Each day, our employees do the can’t be done by solving the most daunting challenges facing our customers. Visit peraton.com to learn how we’re keeping people around the world safe and secure.

Target Salary Range
$86,000 - $138,000. This represents the typical salary range for this position. Salary is determined by various factors, including but not limited to, the scope and responsibilities of the position, the individual’s experience, education, knowledge, skills, and competencies, as well as geographic location and business and contract considerations. Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay.
EEO
EEO: Equal opportunity employer, including disability and protected veterans, or other characteristics protected by law.
Apply for this job online
Email this job to a friend
Share on your newsfeed
Loading...
Application FAQs

Software Powered by iCIMS

www.icims.com"
Peraton,"External Job Posting Title
SITEC - IT Specialist - Camp Lejeune, NC",167716,,United States of America,"$80,000 - $128,000",unknown,Mid,unknown,TS/SCI,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167716/sitec---it-specialist---camp-lejeune%2c-nc/job,"SITEC - IT Specialist - Camp Lejeune, NC
Job Locations
US-NC-Camp Lejeune
Requisition ID 2026-167716 Position Category Information Technology Clearance Top Secret/SCI
Responsibilities

Peraton requires an Information Technology Specialist to support the Special Operations Command Information Technology Enterprise Contract (SITEC) – 3.  This position is located at Camp Lejeune, NC.     

 

The purpose of the Special Operations Forces Information Technology Enterprise Contract (SITEC) 3 Enterprise Operations and Maintenance (EOM) Task Order (TO) is to provide USSOCOM, its Component Commands, its Theater Special Operations Commands (TSOCs), and its deployed forces with Operations and Maintenance (O&M) services to maintain Network Operations (NetOps); maintain systems and network infrastructure; provide end-user and common device support; provide configuration, change, license, and asset management; conduct training, and perform Install, Move, Add, Change (IMACs) services. The responsibilities and tasks associated with each requirement play a pivotal role to USSOCOM, the CIO/J6 organization, and ultimately the end-user who operate around the globe 24x7x365.  

 

Roles and Responsibilities:   

Providing incident response using multiple software applications, including Remedy.  
Providing installation, tuning, testing, operating, monitoring, upgrading, patching, break/fix, defense, and management of WAN and LAN routing and switching infrastructure hardware and software including network hardware and software.   
Installing, configuring, imaging and maintaining desktop and laptop PCs, mobile devices, and peripherals, such as printers. 
Install, configure, upgrade, patch, optimize and monitor operating system (OS) software applications.  
Removing antiquated IT equipment and perform data migration to new machines.  
Installing, maintaining, and assessing current and future telecommunications systems and equipment. 
Installing new cable/fiber. Terminating and testing new cable/fiber. Testing and troubleshooting faulty cable/fiber. 
Analyzing, troubleshooting, and resolving system hardware, software, and networking issues. 
Installing, configuring, and maintaining VTC endpoints. 
Installing, configuring, and maintaining Audio Visual (AV) systems and equipment.
Comply with cable routing from communication rooms to Consolidation Points (CPs) and from CPs to furniture jacks, terminating/troubleshooting, connecting from furniture plate to devices.  
Disposal of excess and of end-of-life equipment.  
Label all cables, patch panels, CPs and other devices IAW SOCOM Standard.  
Unpack and dispose of all packing and excess materials. 
Transporting equipment between locations as  
Installing network devices in communication room e. patch plates, routers and switches. 
Qualifications

Required Qualifications:   

Min 9 years with HS Diploma; 7 years with AS/AA; or 5 years with BS/BA.
Active Secret Clearance with ability to obtain a DoD TS/SCI clearance. 
DoD 8570 IAT II Certification.
Peraton Overview

Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted, highly differentiated solutions and technologies to protect our nation and allies. Peraton operates at the critical nexus between traditional and nontraditional threats across all domains: land, sea, space, air, and cyberspace. The company serves as a valued partner to essential government agencies and supports every branch of the U.S. armed forces. Each day, our employees do the can’t be done by solving the most daunting challenges facing our customers. Visit peraton.com to learn how we’re keeping people around the world safe and secure.

Target Salary Range
$80,000 - $128,000. This represents the typical salary range for this position. Salary is determined by various factors, including but not limited to, the scope and responsibilities of the position, the individual’s experience, education, knowledge, skills, and competencies, as well as geographic location and business and contract considerations. Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay.
EEO
EEO: Equal opportunity employer, including disability and protected veterans, or other characteristics protected by law.
Apply for this job online
Email this job to a friend
Share on your newsfeed
Loading...
Application FAQs

Software Powered by iCIMS

www.icims.com"
Peraton,"External Job Posting Title
SITEC - IT Specialist - Camp Lejeune, NC",167712,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-17T03:05:40Z,https://careers-peraton.icims.com/jobs/167712/sitec---it-specialist---camp-lejeune%2c-nc/job,
