company,title,job_id,location,country,salary,remote,apply_url,description_text,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,scraped_at,date_posted
The Boeing Company,AI Systems Engineer,mock-wd-BOEING-001,"USA - Seattle, WA",United States of America,"$136,850 - $185,150",no,https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---Seattle-WA/AI-Systems-Engineer_MOCK001,Design and develop AI/ML systems for defense avionics. This position requires the ability to obtain a U.S. Security Clearance for which the U.S. Government requires U.S. Citizenship. Secret Clearance Post-Start is required. Relocation assistance is not a negotiable benefit for this position. Experience with DO-178C and machine learning model validation preferred.,Senior,yes,Secret,no,workday,2026-06-06T12:00:00.000Z,
The Boeing Company,Machine Learning Engineer - Autonomous Systems,mock-wd-BOEING-002,United States - Remote,United States of America,"$126,650 - $171,350",yes,https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/Remote/ML-Engineer-Autonomous_MOCK002,Develop machine learning models for autonomous flight path planning and sensor fusion. This position does not require a Security Clearance. This position offers relocation based on candidate eligibility. U.S. Person required for export control compliance.,Mid,us_person,none,yes,workday,2026-06-06T12:00:00.000Z,2026-05-15
Airbus,Data Scientist - Manufacturing AI,mock-wd-AIRBUS-001,"Toulouse, France",France,,no,https://ag.wd3.myworkdayjobs.com/Airbus/job/Toulouse/Data-Scientist-Manufacturing_MOCK001,"Develop AI-powered quality control systems for aircraft manufacturing. Apply machine learning and computer vision to defect detection. Python, TensorFlow, MLOps required. No security clearance required. No citizenship requirement. Relocation package available.",Mid,no,none,yes,workday,2026-06-06T12:00:00.000Z,2026-05-20
CAE,AI Research Engineer - Flight Simulation,mock-wd-CAE-001,"Montreal, QC, Canada",Canada,,no,https://cae.wd3.myworkdayjobs.com/career/job/Montreal/AI-Research-Engineer_MOCK001,Research and develop AI algorithms for next-generation flight simulation. Focus on reinforcement learning and synthetic data generation. No Security Clearance required. Relocation assistance is not available.,Senior,no,none,no,workday,2026-06-06T12:00:00.000Z,2026-05-10
Booz Allen Hamilton,AI/ML Solutions Architect - Defense,mock-wd-BAH-001,"USA - McLean, VA",United States of America,"$161,500 - $218,500",no,https://bah.wd1.myworkdayjobs.com/BAH_Jobs/job/McLean-VA/AI-ML-Solutions-Architect_MOCK001,"Lead AI/ML solution design for defense intelligence clients. Apply LLMs, computer vision, NLP to national security problems. Active TS/SCI clearance required. Must be a U.S. Citizen. Relocation assistance available.",Lead,yes,TS/SCI,yes,workday,2026-06-06T12:00:00.000Z,2026-05-18
Moog Inc,Systems Engineer - Autonomous Control,mock-wd-MOOG-001,"USA - East Aurora, NY",United States of America,"$112,000 - $148,000",no,https://moog.wd5.myworkdayjobs.com/MOOG_External_Career_Site/job/East-Aurora/Systems-Engineer_MOCK001,"Design and verify autonomous control systems for defense and space. Experience with ARP4754A, MBSE, V&V required. Requires ability to obtain Secret clearance. U.S. Citizenship required. Relocation assistance is not a negotiable benefit.",Senior,yes,Secret,no,workday,2026-06-06T12:00:00.000Z,2026-05-12
Northrop Grumman,Principal AI/ML Engineer - Autonomy,mock-phen-NG-001,"USA - San Diego, CA",United States of America,"$176,800 - $239,200",no,https://ngc.wd1.myworkdayjobs.com/NGC_External_Career_Site/job/San-Diego-CA/Principal-AI-ML-Engineer_MOCK001,"Lead development of autonomous systems algorithms for unmanned platforms. Apply ML, computer vision, path planning. TS/SCI clearance required. U.S. Citizenship mandatory. Relocation based on candidate eligibility. DO-178C certification experience a strong plus.",Lead,yes,TS/SCI,yes,phenom,2026-06-06T12:00:00.000Z,2026-05-22
GE Aerospace,Data Engineer - Predictive Maintenance,mock-phen-GE-001,"USA - Cincinnati, OH",United States of America,"$95,000 - $130,000",no,https://jobs.gecareers.com/aviation/global/en/job/MOCK001,"Build data pipelines for predictive maintenance AI models. Sensor telemetry, data quality, MLOps. Python, Spark, Kubernetes. No security clearance required. No citizenship requirement. Relocation assistance available.",Mid,no,none,yes,phenom,2026-06-06T12:00:00.000Z,2026-05-14
Rocket Lab,Autonomy Software Engineer,mock-gh-RLAB-001,"USA - Long Beach, CA",United States of America,"$120,000 - $160,000",no,https://www.rocketlabusa.com/careers/job/?gh_jid=MOCK001,"Develop autonomy software for launch vehicle GNC. C++, Python, real-time systems. ITAR: U.S. Person required. Secret clearance preferred but not required. Relocation assistance provided.",Mid,us_person,none,yes,greenhouse,2026-06-06T12:00:00.000Z,2026-05-08
Relativity Space,Machine Learning Infrastructure Engineer,mock-gh-RELSP-001,"USA - Long Beach, CA",United States of America,"$140,000 - $185,000",no,https://boards.greenhouse.io/relativity/jobs/MOCK001,"Build ML training and inference infrastructure for additive manufacturing AI quality systems. MLOps, Kubernetes, Docker, CI/CD. No clearance required. Relocation based on candidate eligibility. ITAR: U.S. Person.",Senior,us_person,none,yes,greenhouse,2026-06-06T12:00:00.000Z,2026-05-19
